Date,MA,V,ratio,z_score,signal,cumulative_profit,MA_buyhold,V_buyhold,buyhold_total
2025-07-23,558.6090087890625,352.5056457519531,1.5846810271576124,-0.9562493063511095,Hold,525.5138522586452,10807.31585230043,11338.387338438186,2145.7031907386154
2025-07-24,560.0103149414062,351.19598388671875,1.5945806348458766,-0.725391735285837,Hold,525.5138522586452,10834.426690034645,11296.261903883138,2130.688593917781
2025-07-25,564.700927734375,354.241943359375,1.5941108564930477,-0.7363469057217013,Hold,525.5138522586452,10925.175197840392,11394.235563977261,2319.410761817653
2025-07-28,564.7607421875,352.6842041015625,1.601321339656215,-0.5681993708219943,Hold,525.5138522586452,10926.33241814526,11344.13068965761,2270.4631078028688
2025-07-29,559.8314208984375,348.5369873046875,1.6062324553492469,-0.4536727879698325,Hold,525.5138522586452,10830.965656653443,11210.734952635758,2041.7006092892007
2025-07-30,555.6474609375,348.1599426269531,1.5959545970308993,-0.6933511148129797,Hold,525.5138522586452,10750.019277164773,11198.607264323335,1948.6265414881054
2025-07-31,562.9617919921875,342.7626037597656,1.6424247739311562,0.3903274009411966,Hold,525.5138522586452,10891.528427057749,11025.001197554006,1916.5296246117541
2025-08-01,556.4226684570312,336.6905517578125,1.652623352666207,0.6281569381543634,Hold,525.5138522586452,10765.017088483308,10829.692900036045,1594.709988519353
2025-08-04,566.2811889648438,339.4685974121094,1.6681401263086129,0.9900060928538984,Hold,525.5138522586452,10955.748249792852,10919.049079296923,1874.7973290897753
2025-08-05,562.5345458984375,334.78558349609375,1.6802830636373598,1.273177821026074,Hold,525.5138522586452,10883.262567737242,10768.419362210221,1651.6819299474628
2025-08-06,565.6054077148438,337.0774841308594,1.6779685216093099,1.2192030002503447,Hold,525.5138522586452,10942.674022021904,10842.138627281143,1784.8126493030468
2025-08-07,557.744384765625,329.4874267578125,1.6927637884513003,1.5642267096700198,Hold,525.5138522586452,10790.588114709815,10598.003500784103,1388.5916154939187
2025-08-08,570.7632446289062,334.1406555175781,1.7081526453128064,1.9230928615812741,Hold,525.5138522586452,11042.461837413144,10747.675174666196,1790.13701207934
2025-08-11,570.0377807617188,333.2675476074219,1.7104509120498115,1.9766881446745708,Hold,525.5138522586452,11028.426408286927,10719.591551629497,1748.0179599164258
2025-08-12,570.6240844726562,334.6888732910156,1.704938914944126,1.848149084985787,Hold,525.5138522586452,11039.769528948751,10765.30866660018,1805.0781955489292
2025-08-13,574.321044921875,340.4634704589844,1.6868800759964744,1.427019296109801,Hold,525.5138522586452,11111.294009649091,10951.04929289344,2062.343302542533
2025-08-14,580.144775390625,343.38555908203125,1.6894850701978252,1.4877674240054044,Hold,525.5138522586452,11223.964757209866,11045.038631914304,2269.003389124169
2025-08-15,578.0975952148438,342.3717956542969,1.6885082315558677,1.4649876732004963,Hold,525.5138522586452,11184.358301857137,11012.43080690011,2196.78910875725
2025-08-18,580.5224609375,340.6523132324219,1.704149475542878,1.829739460239608,Hold,525.5138522586452,11231.271776849195,10957.123443866914,2188.395220716109
2025-08-19,581.8839721679688,340.3641052246094,1.709592648684203,1.9566735539798747,Hold,525.5138522586452,11257.612708829556,10947.853197940365,2205.4659067699213
2025-08-20,589.0095825195312,341.8350830078125,1.7230811341446475,2.271223290575894,Sell MA and Buy V,525.5138522586452,11395.470710576958,10995.16737878594,2390.6380893628957
2025-08-21,588.2542724609375,341.5965576171875,1.722073186463924,2.2477180810100106,Sell MA and Buy V,525.5138522586452,11380.857852135348,10987.495180335927,2368.3530324712774
2025-08-22,595.250732421875,347.9078674316406,1.7109435805984872,1.9881771115174038,Hold,525.5138522586452,11516.217202693868,11190.499234743358,2706.716437437226
2025-08-25,589.5362548828125,346.6953125,1.700444839105843,1.7433478176144486,Hold,525.5138522586452,11405.66015344505,11151.497256619725,2557.157410064774
2025-08-26,587.9461669921875,349.0409240722656,1.6844619826598293,1.3706296722089686,Hold,525.5138522586452,11374.896986728218,11226.944140584203,2601.841127312422
2025-08-27,587.0020751953125,348.2159729003906,1.6857413814363655,1.4004650862249386,Hold,525.5138522586452,11356.631799303992,11200.409484941838,2557.041284245832
2025-08-28,586.8231811523438,347.7289733886719,1.6875878228772896,1.4435238618440285,Hold,525.5138522586452,11353.17076592279,11184.74508590585,2537.915851828642
2025-08-29,591.6033935546875,349.63726806640625,1.692049010754554,1.5475581862175118,Hold,525.5138522586452,11445.652742511751,11246.125618310876,2691.7783608226273
2025-09-02,588.20458984375,347.93768310546875,1.6905458028972684,1.5125035733816328,Hold,525.5138522586452,11379.89665078008,11191.458259549609,2571.35491032969
